Most Similar Row Index,Question,Attribute name,Answer for item 1 - Park,Answer for item 12 - Farm,Answer for item 18 - Art Gallery,Answer for item 26 - Spa,Answer for item 11 - Countryside,Answer for item 21 – Restaurant,Answer for item 25 – Gym,Answer for item 21 - Restaurant,Answer for item 25 - Gym,Answer for item 2 - Beach,Answer for item 3 - Mountain,Answer for item 4 - Forest,Answer for item 5 - Lake,Answer for item 6 - River,Answer for item 7 - Desert,Answer for item 8 - City,Answer for item 9 - Town,Answer for item 10 - Village,Answer for item 13 - School,Answer for item 14 - College,Answer for item 15 - University,Answer for item 16 - Library,Answer for item 17 - Museum,Answer for item 19 - Theater,Answer for item 20 - Cinema,Answer for item 22 - Café,Answer for item 23 - Bar,Answer for item 24 - Club,Answer for item 27 - Hospital,Answer for item 28 - Clinic,Answer for item 29 - Doctor's Office,Answer for item 30 - Pharmacy,Answer for item 31 - Grocery Store,Answer for item 32 - Market,Answer for item 33 - Shopping Mall,Answer for item 34 - Department Store,Answer for item 35 - Bookstore,Answer for item 36 - Airport,Answer for item 37 - Train Station,Answer for item 38 - Bus Stop,Answer for item 39 - Subway Station,Answer for item 40 - Taxi Stand,Answer for item 41 - Car Rental,Answer for item 42 - Gas Station,Answer for item 43 - Parking Lot,Answer for item 44 - Hotel,Answer for item 45 - Motel,Answer for item 46 - Hostel,Answer for item 47 - Bed and Breakfast,Answer for item 48 - Campground,Answer for item 49 - Cruise Ship,Answer for item 50 - Ferry,Answer for item 51 - Airport Lounge,Answer for item 52 - Waiting Room,Answer for item 53 - Office,Answer for item 54 - Conference Room,Answer for item 55 - Home,Answer for item 56 - Apartment,Answer for item 57 - House,Answer for item 58 - Mansion,Answer for item 59 - Castle,Answer for item 60 - Lighthouse,Answer for item 61 - Island,Answer for item 62 - Cave,Answer for item 63 - Temple,Answer for item 64 - Church,Answer for item 65 - Mosque,Answer for item 66 - Synagogue,Answer for item 67 - Shrine,Answer for item 68 - Cemetery,Answer for item 69 - Graveyard,Answer for item 70 - Amusement Park,Answer for item 71 - Zoo,Answer for item 72 - Aquarium,Answer for item 73 - Botanical Garden,Answer for item 74 - National Park,Answer for item 75 - Historical Site,Answer for item 76 - Landmark,Answer for item 77 - Space Station,Answer for item 78 - Space Shuttle,Answer for item 79 - International Space Station,Answer for item 80 - Mars,Answer for item 81 - Moon,Answer for item 82 - Underwater Cave,Answer for item 83 - Volcano,Answer for item 84 - Waterfall,Answer for item 85 - Hot Spring,Answer for item 86 - Glacier,Answer for item 87 - Tundra,Answer for item 88 - Savannah,Answer for item 89 - Wetland,Answer for item 90 - Marsh,Answer for item 91 - Swamp,Answer for item 92 - Glacier,Answer for item 93 - Cavern,Answer for item 94 - Archipelago,Answer for item 95 - Peninsula,Answer for item 96 - Delta,Answer for item 97 - Oasis,Answer for item 98 - Ruins,Answer for item 99 - Bridge,Answer for item 100 - Dam,Answer for item 1 -Park,Answer for item 1 -Beach,Answer for item 1 -Mountain,Answer for item 1 -Forest,Answer for item 1 -Lake,Answer for item 1 -River,Answer for item 1 -Desert,Answer for item 1 -City,Answer for item 1 -Town,Answer for item 1 -Village,Answer for item 1 -Countryside,Answer for item 1 -Farm,Answer for item 1 -School,Answer for item 1 -College,Answer for item 1 -University,Answer for item 1 -Library,Answer for item 1 -Museum,Answer for item 1 -Art Gallery,Answer for item 1 -Theater,Answer for item 1 -Cinema,Answer for item 1 -Restaurant,Answer for item 1 -Café,Answer for item 1 -Bar,Answer for item 1 -Club,Answer for item 1 -Gym,Answer for item 1 -Spa,Answer for item 1 -Hospital,Answer for item 1 -Clinic,Answer for item 1 -Doctor's Office,Answer for item 1 -Pharmacy,Answer for item 1 -Grocery Store,Answer for item 1 -Market,Answer for item 1 -Shopping Mall,Answer for item 1 -Department Store,Answer for item 1 -Bookstore,Answer for item 1 -Airport,Answer for item 1 -Train Station,Answer for item 1 -Bus Stop,Answer for item 1 -Subway Station,Answer for item 1 -Taxi Stand,Answer for item 1 -Car Rental,Answer for item 1 -Gas Station,Answer for item 1 -Parking Lot,Answer for item 1 -Hotel,Answer for item 1 -Motel,Answer for item 1 -Hostel,Answer for item 1 -Bed and Breakfast,Answer for item 1 -Campground,Answer for item 1 -Cruise Ship,Answer for item 1 -Ferry,Answer for item 1 -Airport Lounge,Answer for item 1 -Waiting Room,Answer for item 1 -Office,Answer for item 1 -Conference Room,Answer for item 1 -Home,Answer for item 1 -Apartment,Answer for item 1 -House,Answer for item 1-Mansion,Answer for item 1 -Castle,Answer for item 1 -Lighthouse,Answer for item 1 -Island,Answer for item 1 -Cave,Answer for item 1 -Temple,Answer for item 1 -Church,Answer for item 1 -Mosque,Answer for item 1 -Synagogue,Answer for item 1 -Shrine,Answer for item 1 -Cemetery,Answer for item 1 -Graveyard,Answer for item 1 -Amusement Park,Answer for item 1 -Zoo,Answer for item 1 -Aquarium,Answer for item 1 -Botanical Garden,Answer for item 1 -National Park,Answer for item 1 -Historical Site,Answer for item 1 -Landmark,Answer for item 1 -Space Station,Answer for item 1 -Space Shuttle,Answer for item 1 -International Space Station,Answer for item 1 -Mars,Answer for item 1 -Moon,Answer for item 1 -Underwater Cave,Answer for item 1 -Volcano,Answer for item 1 -Waterfall,Answer for item 1 -Hot Spring,Answer for item 1 -Glacier,Answer for item 1 -Tundra,Answer for item 1 -\Savannah,Answer for item 1 -Wetland,Answer for item 1 -Marsh,Answer for item 1 -Swamp,Answer for item 1 -Glacier.1,Answer for item 1 -Cavern,Answer for item 1 -Archipelago,Answer for item 1 -Peninsula,Answer for item 1 -Delta,Answer for item 1 -Oasis,Answer for item 1 -Ruins,Answer for item 1 -Bridge,Answer for item 1 -Dam
3,What living being can you find in X?,living being,"people, dogs, birds","pigs, cows, sheeps",people,people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,What object can you find in X?,object found,"swings, playgrounds, benches","barn, silos, tractor","paintings, sculptures, photograps","massage tables, hot tubes, sauna, candles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tipically what are the colors that mainly characterize X?,colors,"green, brown, sunset colors, floral colors","green, red, brown, yellow","neutral colors, black","soft blues, greens, neutral earth tones",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Tipically what can be done in X?,activity,"picnick, play, run, relax, jogging, sports","cultivation, petting zoos, feeding zoos","viewing artwork, learn, attending exhibitions","relax, massages, body treatments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,What are the odors that can generally be smelled in X?,smells,"grass, wood, flowers, rain","animals, hay and straw","neutral, cleanliness",exential oils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,What is the climate generally like in X?,climate,"urban, tropical, desert, mountain",country climate,comfortable,"comfortable, humid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Which ecosystem or context is X generally in?,ecosystem,"urban, savana, desert, tropical",country,urban,"urban, country",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Who is X generally created by?,created by,nature,human,human,human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,From which event can X be generated?,generated by,"hurban initiatives, environmental conservation",feeding needs,"inspiration, cultural initiatives, disclosure ","health trend, cultural practice, tourism",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Can X be considered alive?,alive,yes,yes,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Is X public or private?,pulic-private,public,public,public,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
